=== ITEMS EXTRAITS DU csS ===
UID: 1470358021816189214 | f1 varint = 1470358021816189214
UID: 1470358036294926915 | f1 varint = 1470358036294926915
UID: 1470358021799412269 | f1 varint = 1470358021799412269
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470358021816189038 | f1 varint = 1470358021816189038
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470358090988651135 | f1 varint = 1470358090988651135
UID: 1470358066259034544 | f1 varint = 1470358066259034544
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1469795071275565584 | f1 varint = 1469795071275565584
UID: 1470358072047174105 | f1 varint = 1470358072047174105
UID: 1470358079143936120 | f1 varint = 1470358079143936120
UID: 1470358021967183934 | f1 varint = 1470358021967183934
UID: 1470358043844674093 | f1 varint = 1470358043844674093
UID: 1470358021816188956 | f1 varint = 1470358021816188956
UID: 1470358021799412349 | f1 varint = 1470358021799412349
UID: 1470358022017515634 | f1 varint = 1470358022017515634
UID: 1470358079143936100 | f1 varint = 1470358079143936100
UID: 1470358021799412416 | f1 varint = 1470358021799412416
UID: 1470358021799412404 | f1 varint = 1470358021799412404
UID: 1470358090988651135 | f1 varint = 1470358090988651135
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1469795071275565584 | f1 varint = 1469795071275565584
UID: 1470358072047174105 | f1 varint = 1470358072047174105
UID: 1470358079143936120 | f1 varint = 1470358079143936120
UID: 1470358021967183934 | f1 varint = 1470358021967183934
UID: 1470358043844674093 | f1 varint = 1470358043844674093
