"item_ref_id","item_name","highest_buy","cheapest_sell","delta","margin_pct","buyer_name","buy_qty","buy_offer_uid","seller_name","sell_qty","sell_offer_uid"
"26322","Cape Hilare","5000000","2219997","2780003","125.23","Kanade-Sakura","1","56227895991133084","Dracolf","1","56227895991136794"
"20666","Anneau de Satisfaction","2000000","70000","1930000","2757.14","Maple","1","56227895990954017","Oxix","1","56227895991156318"
"31883","Les retours","2900000","1666665","1233335","74.0","Tom And Jerry","1","56227895991127571","Fa?lle","1","56227895991149202"
"32561","Les Chauffettes ancestrales","2900000","2144998","755002","35.2","Tom And Jerry","1","56227895991134881","Iliketrains","1","56227895991157193"
"32491","Le Hachis Niyomi","2500000","2000000","500000","25.0","Arashs","1","56227895990855778","Solo Mirak","1","56227895991050194"
"26816","La r̩glette","850000","370000","480000","129.73","White Album","1","56227895990851240","Supervives","1","56227895990851815"
"32483","La Shakirapi̬re","600000","439000","161000","36.67","Elyrosita","1","56227895991156826","Princesse Bouftou","1","56227895991157160"
"22425","Heaum̩morial","400000","240000","160000","66.67","Nioffe Strogo","1","56227895990969259","Skyjan","1","56227895991051174"
"19866","Gants Nutte","350000","200000","150000","75.0","Keris Naga Melayu","1","56227895990990711","Volala Rach?","1","56227895991143248"
"27814","Gants Roissingue","400000","295000","105000","35.59","Nioffe Strogo","1","56227895991115690","Dua-Lipatte","1","56227895991154574"
